,Case,Date,Year,Country,Location,Activity,Sex,Age,Fatal
574,2012.05.06,06-May-12,2012,USA,Off Catalina Island,Kayaking/Canoeing/Rowing,F,15,N
575,2012.04.19.b,19-Apr-12,2012,USA,"Indialantic, Brevard County",Swimming/Surfing/Boogie Boarding,M,28,N
576,2012.04.19.a,19-Apr-12,2012,SOUTH AFRICA,Caves near Kogel Bay,Swimming/Surfing/Boogie Boarding,M,20,Y
577,2012.04.11,11-Apr-12,2012,AUSTRALIA,"Dolphin Bay, Innes National Park",Kayaking/Canoeing/Rowing,M,27,N
578,2012.04.03,03-Apr-12,2012,USA,"Leftovers near Chun's Reef, Oahu",Swimming/Surfing/Boogie Boarding,M,28,N
579,2012.04.00,Apr-13,2012,USA,"Sanibel Island, Lee County",,M,,N
580,2012.03.31,31-Mar-12,2012,AUSTRALIA,Stratham Beach,Diving/Scuba Diving/Freediving,M,33,Y
581,2012.03.24,24-Mar-12,2012,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,21,N
582,2012.03.22,22-Mar-12,2012,AUSTRALIA,Kalbarri,,Unknown,,N
583,2012.03.20,20-Mar-12,2012,AUSTRALIA,Nobby's Beach,Swimming/Surfing/Boogie Boarding,M,20,N
584,2012.03.15,15-Mar-12,2012,USA,"Jensen Beach, Martin County ",Swimming/Surfing/Boogie Boarding,M,61,N
585,2012.03.14.b,14-Mar-12,2012,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,F,15,N
586,2012.03.14.a,14-Mar-12,2012,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,17,N
587,2012.03.06.b,06-Mar-12,2012,NEW ZEALAND,"Opunake, Taranake",Swimming/Surfing/Boogie Boarding,M,,N
588,2012.03.06.a,06-Mar-12,2012,AUSTRALIA,"Shipwreck Cove, Melbourne Aquarium",,F,34,N
589,2012.03.05,05-Mar-12,2012,REUNION,Port de la Marine,Swimming/Surfing/Boogie Boarding,M,31,N
590,2012.03.04,04-Mar-12,2012,USA,"Playalinda Beach, Brevard County",Swimming/Surfing/Boogie Boarding,M,19,N
591,2012.03.03,03-Mar-12,2012,SAUDI ARABIA,Off Duba,,M,42,N
592,2012.03.01,01-Mar-12,2012,CHILE,Antofagasta,,M,,N
593,2012.02.26,26-Feb-12,2012,USA,"Palm Beach Inlet, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,,N
594,2012.02.25,25-Feb-12,2012,AUSTRALIA,Broughton Island,Fishing/Spearfishing,M,,N
595,2012.02.20,20-Feb-12,2012,SOUTH AFRICA,Strandfontein,Fishing/Spearfishing,Unknown,,N
596,2012.02.06,06-Feb-12,2012,AUSTRALIA,Wurtulla,Swimming/Surfing/Boogie Boarding,M,29,N
597,2012.01.22.R,Reported 22-Jan-2012,2012,BAHAMAS,Cat Island,,M,,N
598,2012.01.27,27-Jan-12,2012,USA,Lanai,Diving/Scuba Diving/Freediving,Unknown,,N
599,2012.01.19,19-Jan-12,2012,AUSTRALIA,Coral Bay,Diving/Scuba Diving/Freediving,M,26,N
600,2012.01.18.b,18-Jan-12,2012,TAIWAN,Taimali,Fishing/Spearfishing,M,24,N
601,2012.01.18.a,18-Jan-12,2012,AUSTRALIA,Redhead Beach,Swimming/Surfing/Boogie Boarding,M,44,N
602,2012.01.15,15-Jan-12,2012,SOUTH AFRICA,"Second Beach, Port St. Johns",Swimming/Surfing/Boogie Boarding,M,25,Y
603,2012.01.13,13-Jan-12,2012,USA,"Lincoln City, Lincoln County",Swimming/Surfing/Boogie Boarding,M,53,N
604,2012.01.03,03-Jan-12,2012,AUSTRALIA,North Avoca Beach,Swimming/Surfing/Boogie Boarding,M,28,N
605,2012.01.02,02-Jan-12,2012,AUSTRALIA,Duranbah,Fishing/Spearfishing,M,34,N
606,2011.12.31,31-Dec-11,2011,USA,"Jupiter, Palm Beach County",,M,,N
607,2011.12.26.R,Reported 26-Dec-2011,2011,ANTIGUA,Fort James Beach,Swimming/Surfing/Boogie Boarding,M,,N
608,2011.12.25,25-Dec-11,2011,ECUADOR,Barandúa Beach,Swimming/Surfing/Boogie Boarding,M,23,N
609,2011.12.23,23-Dec-11,2011,USA,New Smyrna Beach,Swimming/Surfing/Boogie Boarding,M,27,N
610,2011.12.21.b,21-Dec-11,2011,USA,"Makahuena Point, Kauai",Kayaking/Canoeing/Rowing,M,,N
611,2011.12.21.a,21-Dec-11,2011,SOUTH AFRICA,"Noordhoek, Port Elizabeth",Fishing/Spearfishing,M,35,N
612,2011.12.11,11-Dec-11,2011,AUSTRALIA,Angourie,Swimming/Surfing/Boogie Boarding,M,51,N
613,2011.12.07.b,07-Dec-11,2011,SOUTH AFRICA,Between Sodwana & Cape Vidal,Kayaking/Canoeing/Rowing,M,,N
614,2011.12.07.a,07-Dec-11,2011,AUSTRALIA,Maroubra,Swimming/Surfing/Boogie Boarding,M,14,N
615,2011.12.06,06-Dec-11,2011,USA,Seaside Cove,Swimming/Surfing/Boogie Boarding,F,,N
616,2011.12.05,05-Dec-11,2011,AUSTRALIA,Bushy Ilet,Fishing/Spearfishing,Unknown,,Y
617,2011.12.02,02-Dec-11,2011,AUSTRALIA,Broken Head,Swimming/Surfing/Boogie Boarding,M,63,N
618,2011.11.29,29-Nov-11,2011,INDONESIA,Tabanan,Swimming/Surfing/Boogie Boarding,M,18,N
619,2011.11.28,28-Nov-11,2011,AUSTRALIA,Peregian,Swimming/Surfing/Boogie Boarding,M,10,N
620,2011.11.22,22-Nov-11,2011,USA,Pigeon Point,Kayaking/Canoeing/Rowing,M,,N
621,2011.11.20.R,Reported 20-Nov-2011,2011,PAPUA NEW GUINEA,Pigeon Island,Diving/Scuba Diving/Freediving,M,,N
622,2011.11.12,12-Nov-11,2011,BRAZIL,"Punta Del Chifre Beach, Olinda",Swimming/Surfing/Boogie Boarding,M,35,N
623,2011.11.11,11-Nov-11,2011,REUNION,Sainte-Rose,,M,42,N
624,2011.10.29.,  29-Oct-2011,2011,USA,"Marina State Beach, Monterey County",Swimming/Surfing/Boogie Boarding,M,27,N
625,2011.10.28.R,Reported 28-Oct-2011,2011,UNITED KINGDOM,Spey Bay,Swimming/Surfing/Boogie Boarding,M,26,N
626,2011.10.28.,  29-Oct-2011,2011,SOUTH AFRICA,"uShaka Aquarium, Durban",Diving/Scuba Diving/Freediving,Unknown,,N
627,2011.10.22,22-Oct-11,2011,AUSTRALIA,Rottnest Island,Diving/Scuba Diving/Freediving,M,32,Y
628,2011.10.20,20-Oct-11,2011,USA,"Newport, Lincoln County",Swimming/Surfing/Boogie Boarding,M,41,N
629,2011.10.19,19-Oct-11,2011,AUSTRALIA,Elwood Beach,Diving/Scuba Diving/Freediving,M,50,N
630,2011.10.11,11-Oct-11,2011,USA,Cape Canaveral,Swimming/Surfing/Boogie Boarding,M,,N
631,2011.10.10,10-Oct-11,2011,USA,Seaside,Swimming/Surfing/Boogie Boarding,M,,N
632,2011.10.09,09-Oct-11,2011,AUSTRALIA,Cottesloe Beach,Swimming/Surfing/Boogie Boarding,M,64,Y
633,2011.10.05,05-Oct-11,2011,REUNION,Cap La Houssaye,Kayaking/Canoeing/Rowing,M,51,N
634,2011.10.02,02-Oct-11,2011,USA,"Santa Maria Island, Manatee County",,M,,N
635,2011.10.01,01-Oct-11,2011,USA,"Gulf Shores, Baldwin County",,M,29,N
636,2011.09.30,30-Sep-11,2011,USA,Hatillo Beach,Swimming/Surfing/Boogie Boarding,M,27,N
637,2011.09.28.b,28-Sep-11,2011,DOMINICAN REPUBLIC,Playa Jackson ,Fishing/Spearfishing,M,48,N
638,2011.09.28.a,28-Sep-11,2011,SOUTH AFRICA,Clovely Beach,Swimming/Surfing/Boogie Boarding,M,43,N
639,2011.09.24.b,24-Sep-11,2011,USA,"Santa Maria Island, Manatee County",Fishing/Spearfishing,M,21,N
640,2011.09.24.a,24-Sep-11,2011,USA,"North Myrtle Beach, Horry County",,M,5,N
641,2011.09.20,20-Sep-11,2011,USA,Kauai,Kayaking/Canoeing/Rowing,M,,N
642,2011.09.19,19-Sep-11,2011,REUNION,Boucan-Canot,Swimming/Surfing/Boogie Boarding,M,38,Y
643,2011.09.17,17-Sep-11,2011,KENYA,"Mama Ngina Beach, Mombasa ",Swimming/Surfing/Boogie Boarding,M,17,Y
644,2011.09.16,16-Sep-11,2011,USA,New Smyrna Beach,Swimming/Surfing/Boogie Boarding,M,25,N
645,2011.09.11.b,11-Sep-11,2011,USA,"Samoa Beach, Humboldt County",Swimming/Surfing/Boogie Boarding,M,37,N
646,2011.09.11.a,11-Sep-11,2011,PAPUA NEW GUINEA,"Hula, near Port Moresby",Swimming/Surfing/Boogie Boarding,M,30,N
647,2011.09.04.b,04-Sep-11,2011,USA,"Nimitz State Beach, Oahu",Swimming/Surfing/Boogie Boarding,Unknown,,N
648,2011.09.04.a,04-Sep-11,2011,AUSTRALIA, Bunker Bay,Swimming/Surfing/Boogie Boarding,M,21,Y
649,2011.09.02,02-Sep-11,2011,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,19,N
650,2011.08.31,31-Aug-11,2011,USA,Crescent Beach St. Johns County,Swimming/Surfing/Boogie Boarding,M,19,N
651,2011.08.28.b,28-Aug-11,2011,AUSTRALIA,Fantome Island,Swimming/Surfing/Boogie Boarding,M,48,Y
652,2011.08.28.a,28-Aug-11,2011,USA,"Grass Island, Aransas County",,F,39,N
653,2011.08.26,26-Aug-11,2011,RUSSIA,Slavyanka,,M,,N
654,2011.08.24.b,24-Aug-11,2011,USA,"Buxton Beach, Dare County",Swimming/Surfing/Boogie Boarding,M,21,N
655,2011.08.24.a,24-Aug-11,2011,USA,Holden Beach. Brunswick County,,M,10,N
656,2011.08.23,23-Aug-11,2011,SOUTH AFRICA,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",Swimming/Surfing/Boogie Boarding,M,49,Y
657,2011.08.18,18-Aug-11,2011,RUSSIA,Zheltukhin Island,Swimming/Surfing/Boogie Boarding,M,16,N
658,2011.08.17.c.,17-Aug-11,2011,USA,"Kure Beach, New Hanover County",Standing/Wading/Walking,F,20s,N
659,2011.08.17.b.,17-Aug-11,2011,USA,"Wrightsville Beach, New Hanover County",,M,12,N
660,2011.08.17.a,17-Aug-11,2011,RUSSIA,Vityaz,Swimming/Surfing/Boogie Boarding,M,25,N
661,2011.08.16.c,16-Aug-11,2011,FRENCH POLYNESIA,"Teahupoo, Tahiti",Swimming/Surfing/Boogie Boarding,M,32,N
662,2011.08.16.b,16-Aug--2011,2011,USA, Vieques,,M,27,N
663,2011.08.16.a,16-Aug-11,2011,SEYCHELLES,Anse Lazio ,,M,30,Y
664,2011.08.15,15-Aug-11,2011,USA,"Myrtle Beach, Horry County",,M,7,N
665,2011.08.11,11-Aug--2011,2011,USA,Beaufort Inlet,Swimming/Surfing/Boogie Boarding,M,54,N
666,2011.08.01,01-Aug-11,2011,SEYCHELLES,Anse Lazio ,Diving/Scuba Diving/Freediving,M,36,Y
667,2011.07.31,31-Jul-11,2011,BRAZIL,Praia do Pina,Swimming/Surfing/Boogie Boarding,M,14,Y
668,2011.07.30,30-Jul-11,2011,PHILIPPINES,,Sea Disaster/Murder,M,43,N
669,2011.07.25,25-Jul-11,2011,USA,"Egg Harbor, Atlantic County",,M,,N
670,2011.07.22,22-Jul-11,2011,SOUTH AFRICA,"Cintza Beach, East London",Swimming/Surfing/Boogie Boarding,M,29,N
671,2011.07.19,19-Jul-11,2011,USA,"Ocracoke Island, Hyde County",Swimming/Surfing/Boogie Boarding,F,6,N
672,2011.07.15,15-Jul-11,2011,REUNION,Brisants. ,,M,,N
673,2011.07.13.b,13-Jul-11,2011,USA,"South Padre Island, Cameron County",Fishing/Spearfishing,M,,N
674,2011.07.13.a,13-Jul-11,2011,BAHAMAS,Off Lucaya,Diving/Scuba Diving/Freediving,M,54,N
675,2011.07.07.b,07-Jul-11,2011,USA,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming/Surfing/Boogie Boarding,M,12,N
676,2011.07.07.a,07-Jul-11,2011,USA,"Mustang Island, Nueces County",,M,14,N
677,2011.07.06,06-Jul-11,2011,REUNION,Roches Noires,Swimming/Surfing/Boogie Boarding,M,16,N
678,2011.07.05,05-Jul-11,2011,COLOMBIA,"Libertad, San Onofre",Kayaking/Canoeing/Rowing,M,17,N
679,2011.06.30,30-Jun-11,2011,TURKS & CAICOS,Mudjin Harbor,Diving/Scuba Diving/Freediving,M,28,N
680,2011.06.29,29-Jun-11,2011,BRAZIL,Praia do Pina,Swimming/Surfing/Boogie Boarding,M,21,N
681,2011.06.28,28-Jun-11,2011,SOUTH AFRICA,Aliwal Shoal,Diving/Scuba Diving/Freediving,M,22,N
682,2011.06.26,26-Jun-08,2011,USA,"North Topsail Beach, Onslow County",,F,10,N
683,2011.06.24,24-Jun-11,2011,USA,"San Onofre State Beach, San Diego County",Swimming/Surfing/Boogie Boarding,M,,N
684,2011.06.21,21-Jun-11,2011,USA,"Perdido Key, Escambia County",,M,20,N
685,2011.06.19.b,19-Jun-11,2011,TURKS & CAICOS,French Cay,Fishing/Spearfishing,M,35,N
686,2011.06.19.a,19-Jun-11,2011,COSTA RICA,Playa Grande,Swimming/Surfing/Boogie Boarding,M,15,Y
687,2011.06.15,15-Jun-11,2011,REUNION,Boucan-Canot,Swimming/Surfing/Boogie Boarding,M,31,Y
688,2011.06.14.R,Reported 14-Jun-2011,2011,UNITED KINGDOM,St. Ives,Fishing/Spearfishing,Unknown,,N
689,2011.06.12,12-Jun-11,2011,USA,"Off Jupiter Inlet, Palm Beach County",Diving/Scuba Diving/Freediving,M,28,N
690,2011.06.06.R,Reported 06-Jun-2011,2011,COLOMBIA,Albuquerque Cay,Fishing/Spearfishing,M,24,N
691,2011.06.06.b,06-Jun-11,2011,USA,"La Jolla, San Diego County",Fishing/Spearfishing,M,28,N
692,2011.06.06.a,06-Jun-11,2011,USA,"New Smyrna Beach, Volusia County",Standing/Wading/Walking,M,19,N
693,2011.06.01,01-Jun-11,2011,MALAYSIA,Palau Payar,Diving/Scuba Diving/Freediving,F,,N
694,2011.05.30,30-May-11,2011,USA,"Follett's Island, Brazoria County",,F,22,N
695,2011.05.29,29-May-11,2011,SOUTH AFRICA,Robberg Beach,Swimming/Surfing/Boogie Boarding,M,33,N
696,2011.05.25,25-May-11,2011,USA,"Lyman Beach, Kailua-Kona",Swimming/Surfing/Boogie Boarding,F,,N
697,2011.05.22,22-May-11,2011,USA,"Lyman Beach, Kailua-Kona",Kayaking/Canoeing/Rowing,F,,N
698,2011.05.21.a,21-May-11,2011,NEW CALEDONIA,Kendec,,M,15,Y
699,2011.05.21.b,21-May-11,2011,SOUTH AFRICA,Levan Point,Fishing/Spearfishing,M,28,Y
700,2011.05.13.b,13-May-11,2011,USA,"Ponte Vedra Beach, St Johns County",Swimming/Surfing/Boogie Boarding,M,86,N
701,2011.05.13.a,13-May-11,2011,USA,"Ormond Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,37,N
702,2011.05.10,10-May-11,2011,USA,Miami,Fishing/Spearfishing,M,,N
703,2011.05.07.R,Reported 07-May-2011,2011,UNITED ARAB EMIRATES (UAE),Khor Fakkan ,Fishing/Spearfishing,M,43,N
704,2011.05.04,04-May-11,2011,SOUTH AFRICA,Palm Beach,Fishing/Spearfishing,M,37,N
705,2011.04.26,26-Apr-11,2011,USA,"Riviera Beach, Palm Beach County",Fishing/Spearfishing,M,32,N
706,2011.04.23,23-Apr-11,2011,AUSTRALIA,Red Bluffs,,M,17,N
707,2011.04.22,22-Apr-11,2011,USA,"New Smyrna Beach, Volusia County",,M,49,N
708,2011.04.16,16-Apr-11,2011,NEW ZEALAND,Snapper Point,Swimming/Surfing/Boogie Boarding,M,41,N
709,2011.04.12,13-Apr-11,2011,INDONESIA,Balian,Swimming/Surfing/Boogie Boarding,M,,N
710,2011.04.08,08-Apr-11,2011,FIJI,"Malake Island, Ra Province",Diving/Scuba Diving/Freediving,M,27,N
711,2011.03.29.R,Reported 29-Mar-2011,2011,USA,Matagorda Beach,,M,,N
712,2011.03.24,24-Mar-11,2011,MEXICO,"Gaviotas Beach, Cancun",Swimming/Surfing/Boogie Boarding,F,,N
713,2011.03.23,23-Mar-11,2011,AUSTRALIA,Crowdy Head,Swimming/Surfing/Boogie Boarding,M,48,N
714,2011.03.21.b,21-Mar-11,2011,MEXICO,,Swimming/Surfing/Boogie Boarding,M,46,N
715,2011.03.21.a,21-Mar-11,2011,FIJI,Nukudamu ,,M,30,N
716,2011.03.16,16-Mar-11,2011,AUSTRALIA,"Jimmys Beach, Port Stephens",,F,24,N
717,2011.03.10.R,Reported 10-Mar-2010,2011,EGYPT,Sharm-el-Sheikh,,F,,N
718,2011.03.10,10-Mar-11,2011,AUSTRALIA,"Tallow Beach, Byron Bay",Swimming/Surfing/Boogie Boarding,M,,N
719,2011.02.28.R,Reported 28-Feb-2011,2011,AUSTRALIA,Between ,Fishing/Spearfishing,M,36,N
720,2011.02.23,23-Feb-11,2011,NEW CALEDONIA,"Bay of Bweedro, Ouvéa",Fishing/Spearfishing,M,21,N
721,2011.02.19,18-Feb-11,2011,REUNION,Trois-Roches,Swimming/Surfing/Boogie Boarding,M,32,N
722,2011.02.17,17-Feb-11,2011,AUSTRALIA,Off Perforated Island near Coffin Bay,Diving/Scuba Diving/Freediving,M,49,Y
723,2011.02.13,13-Feb-11,2011,AUSTRALIA,Sunshine Beach,Fishing/Spearfishing,M,,N
724,2011.02.12,12-Feb-11,2011,AUSTRALIA,Exmouth,Diving/Scuba Diving/Freediving,M,58,N
725,2011.02.04.R,Reported 04-Feb-2011,2011,MEXICO,"Manzanillo, Revillagigedo Islands",,M,,N
726,2011.02.02,02-Feb-11,2011,SOUTH AFRICA,"Sundays River Mouth, Port Elizabeth",Fishing/Spearfishing,M,37,N
727,2011.01.31,31-Jan-11,2011,MEXICO,Cancun,Swimming/Surfing/Boogie Boarding,F,38,N
728,2011.01.28,28-Jan-11,2011,MEXICO,Revillagigedo Islands,,M,25,N
729,2011.01.26,26-Jan-11,2011,BAHAMAS,Tiger Beach,Diving/Scuba Diving/Freediving,M,55,N
730,2011.01.20,20-Jan-11,2011,AUSTRALIA,Cudgen Creek ,Swimming/Surfing/Boogie Boarding,F,7,N
731,2011.01.15,15-Jan-11,2011,SOUTH AFRICA,"Second Beach, Port St. John's",Swimming/Surfing/Boogie Boarding,M,16,Y
732,2011.01.12.R,Reported 12-Jan 2011,2011,MEXICO,Xcalak ,,M,37,N
733,2011.01.03,03-Jan-11,2011,AUSTRALIA,Busselton,Fishing/Spearfishing,Unknown,,N
734,2010.12.26,26-Dec-10,2010,USA," Kahului, Maui",Swimming/Surfing/Boogie Boarding,M,16,N
735,2010.12.17,17-Dec-10,2010,FIJI,Sigatoka,Swimming/Surfing/Boogie Boarding,M,,N
736,2010.12.11,11-Dec-10,2010,USA,"Tavares Bay, Maui",Swimming/Surfing/Boogie Boarding,M,46,N
737,2010.12.05,05-Dec-10,2010,EGYPT,"Middle Garden, Sharm el-Shiekh",Diving/Scuba Diving/Freediving,F,70,Y
738,2010.12.03.R,Reported 03-Dec-2010,2010,INDONESIA,Balian,Swimming/Surfing/Boogie Boarding,M,,N
739,2010.12.01.b,01-Dec-10,2010,EGYPT,"Ras Nasrani, Sharm el-Sheikh",Diving/Scuba Diving/Freediving,M,54,N
740,2010.12.01.a,01-Dec-10,2010,EGYPT,"Ras Nasrani, Sharm el-Sheikh",Diving/Scuba Diving/Freediving,M,46,N
741,2010.11.30.b,30-Nov-10,2010,EGYPT,"Coral Bay, Sharm el-Sheikh",Diving/Scuba Diving/Freediving,F,70,N
742,2010.11.30.a,30-Nov-10,2010,EGYPT,"Coral Bay, Sharm el-Sheikh",Diving/Scuba Diving/Freediving,F,48,N
743,2010.11.27.R,Reported 27-Nov-2010,2010,SAMOA,,Fishing/Spearfishing,M,47,N
744,2010.11.27,27-Nov-10,2010,AUSTRALIA,Native Dog Beach,Swimming/Surfing/Boogie Boarding,M,,Y
745,2010.11.19,19-Nov-10,2010,USA,,Diving/Scuba Diving/Freediving,M,33,N
746,2010.11.15,15-Nov-10,2010,DOMINICAN REPUBLIC,Boca Chica,Diving/Scuba Diving/Freediving,M,21,Y
747,2010.11.14,14-Nov-10,2010,INDONESIA,Balian,Swimming/Surfing/Boogie Boarding,M,,N
748,2010.11.12.R,Reported 12-Nov-2010,2010,AUSTRALIA,Between Carnac and Garden Islands,Fishing/Spearfishing,M,,N
749,2010.10.30,30-Oct-10,2010,AUSTRALIA,Off Garden Island,Diving/Scuba Diving/Freediving,F,20,N
750,2010.10.28.R,Reported 28-Oct-2010,2010,AUSTRALIA,Cheynes Beach,Fishing/Spearfishing,M,,N
751,2010.10.28,28-Oct-10,2010,USA,Florence,Swimming/Surfing/Boogie Boarding,M,,N
752,2010.10.25,25-Oct-10,2010,AZORES,350 miles from Faial Island,Fishing/Spearfishing,M,,N
753,2010.10.23.b,23-Oct-10,2010,USA,"Burnt Cove near Eastport, Washington County",Diving/Scuba Diving/Freediving,M,30,N
754,2010.10.23.a,23-Oct-10,2010,AUSTRALIA,Wedge Island,Swimming/Surfing/Boogie Boarding,M,14,N
755,2010.10.22,22-Oct-10,2010,USA,"Surf Beach, Vandenberg AFB, Santa Barbara County",Swimming/Surfing/Boogie Boarding,M,19,Y
756,2010.10.20,20-Oct-10,2010,EGYPT,Sharm el-Sheikh ,Diving/Scuba Diving/Freediving,F,,N
757,2010.10.09,09-Oct-10,2010,AUSTRALIA,Mullaway Headland,Swimming/Surfing/Boogie Boarding,M,22,N
758,2010.10.02.b,02-Oct-10,2010,BAHAMAS,,Diving/Scuba Diving/Freediving,M,,N
759,2010.10.02.a,02-Oct-10,2010,BAHAMAS,Elbow Cay,Swimming/Surfing/Boogie Boarding,F,,N
760,2010.10.01,01-Oct-10,2010,SOUTH AFRICA,"Melkbaai, Strand",Swimming/Surfing/Boogie Boarding,M,Teen,N
761,2010.09.27,27-Sep-10,2010,USA,Winchester Bay,Swimming/Surfing/Boogie Boarding,M,29,N
762,2010.09.24,24-Sep-10,2010,USA,Sandridge Beach,Swimming/Surfing/Boogie Boarding,M,18,N
763,2010.09.21,21-Sep-10,2010,SOUTH AFRICA,Between Dyer Island and Pearly Beach,Swimming/Surfing/Boogie Boarding,M,29,Y
764,2010.09.13, 13-Sep-2010,2010,AUSTRALIA,Fraser's Reef,Swimming/Surfing/Boogie Boarding,M,15,N
765,2010.09.07,07-Sep-10,2010,USA,"St. Augustine, St. John's County",Swimming/Surfing/Boogie Boarding,M,27,N
766,2010.09.06.R,Reported 06-Sep-2010,2010,TONGA,,,M,24,N
767,2010.09.04, 04-Sep-2010,2010,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,,N
768,2010.09.03.b,03-Sep-10,2010,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,24,N
769,2010.09.03.a,03-Sep-10,2010,USA,"New Smyrna Beach, Volusia County",Swimming/Surfing/Boogie Boarding,M,24,N
770,2010.09.02,02-Sep-10,2010,SOLOMON ISLANDS,,,M,34,N
771,2010.08.29,29-Aug-10,2010,BAHAMAS,"Off Jaws Beach, New Providence Island",,M,43,Y
772,2010.08.18,18-Aug-10,2010,USA,Crescent Beach St. Johns County,Swimming/Surfing/Boogie Boarding,M,10,N
773,2010.08.17,17-Aug-10,2010,AUSTRALIA,Cowaramup Bay,Swimming/Surfing/Boogie Boarding,M,31,Y
774,2010.08.14,14-Aug-10,2010,USA,"Pigeon Point, San Mateo County",Fishing/Spearfishing,M,45,N
775,2010.08.10.b,10-Aug-10,2010,AUSTRALIA,"Three Mile Creek, Townsville",Fishing/Spearfishing,F,,N
776,2010.08.10,10-Aug-10,2010,SOUTH KOREA,Jeju Island,Swimming/Surfing/Boogie Boarding,F,16,N
777,2010.08.08,08-Aug-10,2010,AUSTRALIA,Crescent Head,Swimming/Surfing/Boogie Boarding,M,47,N
778,2010.08.07.b,07-Aug-10,2010,USA,"Figure Eight Island, Wilmington, New Hanover County",Swimming/Surfing/Boogie Boarding,M,25,N
779,2010.08.07.a,07-Aug-10,2010,MALTA,"Off Fort St. Elmo, Valetta",Swimming/Surfing/Boogie Boarding,M,35,N
780,2010.08.05,05-Aug-10,2010,USA,"Bethune Beach, Volusia County",Swimming/Surfing/Boogie Boarding,F,,N
781,2010.08.02.b,02-Aug-10,2010,USA,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",Kayaking/Canoeing/Rowing,M,,N
782,2010.08.02.a,02-Aug-10,2010,USA,"Micklers Landing, St. Johns County",Standing/Wading/Walking,F,37,N
783,2010.07.25,25-Jul-10,2010,USA,"Isle of Palms, Charleston County",Standing/Wading/Walking,M,16,N
784,2010.07.23,23-Jul-10,2010,USA,"Jacksonville Beach, Duval County",Swimming/Surfing/Boogie Boarding,M,20,N
785,2010.07.19,19-Jul-10,2010,USA,Myrtle Beach,Swimming/Surfing/Boogie Boarding,M,10,N
786,2010.07.17.b,17-Jul-10,2010,USA,"Wrightsville Beach, New Hanover County",Swimming/Surfing/Boogie Boarding,F,13,N
787,2010.07.17.a,17-Jul-10,2010,USA,New Smyrna Beach,Swimming/Surfing/Boogie Boarding,M,55,N
788,2010.07.16.b,16-Jul-10,2010,SPAIN,"Sardina del Norte, Gáldar",Swimming/Surfing/Boogie Boarding,M,9,N
789,2010.07.16.a,16-Jul-10,2010,USA,Galveston,Fishing/Spearfishing,M,,N
790,2010.07.11,11-Jul-10,2010,USA,"Lauderdale-by-the-Sea, Broward County",Fishing/Spearfishing,M,,N
791,2010.07.04,04-Jul-10,2010,SOUTH AFRICA,"Two Mile Reef, Sodwana Bay",Diving/Scuba Diving/Freediving,F,21,N
792,2010.07.03,03-Jul-10,2010,USA,Off Long Island,Fishing/Spearfishing,M,20,N
793,2010.07.02.b,02-Jul-10,2010,USA,"Pismo Beach, San Luis  Obispo County",Swimming/Surfing/Boogie Boarding,M,19,N
794,2010.07.02.a,02-Jul-10,2010,USA,"Dog Patch, San Onofre",,M,48,N
795,2010.06.27,27-Jun-10,2010,USA,"Eight Mile Beach, Galveston",Swimming/Surfing/Boogie Boarding,M,20,N
796,2010.06.25.b,25-Jun-10,2010,USA,Fripp Island,Swimming/Surfing/Boogie Boarding,F,6,N
797,2010.06.25.a,25-Jun-10,2010,USA,"Topsail Island, Pender County",Swimming/Surfing/Boogie Boarding,F,13,N
798,2010.06.15,15-Jun-10,2010,VIETNAM,Quy Nhon ,Swimming/Surfing/Boogie Boarding,M,17,N
799,2010.06.10,10-Jun-10,2010,USA,Jacksonville,Swimming/Surfing/Boogie Boarding,F,18,N
800,2010.06.06,06-Jun-10,2010,AUSTRALIA,"Conspicuous Beach, near Walpole",Swimming/Surfing/Boogie Boarding,M,40,N
801,2010.06.00,Jun-10,2010,USA,"Ponte Vedra Beach, St Johns County",Swimming/Surfing/Boogie Boarding,M,20,N
802,2010.05.30,30-May-10,2010,USA,Off Tarpon Springs,Fishing/Spearfishing,M,49,N
803,2010.05.18.c,18-May-10,2010,VIETNAM,Quy Nhon ,,F,58,N
804,2010.05.18.b,18-May-10,2010,VIETNAM,Quy Nhon ,Swimming/Surfing/Boogie Boarding,F,60,N
805,2010.05.18.a,18-May-10,2010,AUSTRALIA,Point Plomer,Swimming/Surfing/Boogie Boarding,M,,N
806,2010.05.03,03-May-10,2010,MADAGASCAR," Ambatolaoka, Nosy Be Island",Diving/Scuba Diving/Freediving,M,59,N
807,2010.05.01,01-May-10,2010,USA,New Smyrna Beach,Standing/Wading/Walking,F,10,N
808,2010.04.28,28-Apr-10,2010,USA,Hanalei Bay,,M,29,N
